platform,period,frequency,scope,unit,source_id,source_url,source_file,source_page,status,indonesia_country_pair_confirmed,tpv,tpv_source_line,revenue,revenue_source_line,gpbd,gpbd_source_line
Blibli/GDN,2024FY,annual,Institutions,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,11649.0,"-​ Institutions                                     3,440                   3,120               10              11,649                 10,066                 16",5671.0,"-​ Institutions                                     1,635                     898               82                5,671                 3,008                 89",759.0,-​ Institutions                                        201                     161             25                   759                   278               173
Blibli/GDN,2024FY,annual,Physical Stores,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,6250.0,"-​ Physical Stores                                  1,650                   1,281               29               6,250                  4,773                 31",5392.0,"-​ Physical Stores                                  1,403                   1,122               25                5,392                 4,199                 28",1247.0,"-​ Physical Stores                                     368                     240             53                 1,247                   914                36"
Blibli/GDN,2024FY,annual,Group,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,77410.0,"Total TPV                                          21,144                  17,508               21              77,410                 72,136                 7",16716.0,"Total Net Revenues                                   4,584                   3,255               41              16,716                 14,718                14",5364.0,"Total GPBD                                           1,605                   1,053               52                5,364                 3,687                45"
Blibli/GDN,2023FY,annual,1P Retail,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,7385.0,"-​ 1P Retail                                        1,429                   1,142               25               5,301                  7,385               (28)",6386.0,"-​ 1P Retail                                        1,122                     956               17                4,269                 6,386               (33)",517.0,-​ 1P Retail                                           311                     109            185                   859                   517                66
Blibli/GDN,2023FY,annual,3P Retail,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,49912.0,"-​ 3P Retail                                       14,625                  11,965               22              54,210                 49,912                  9",1125.0,"-​ 3P Retail                                          424                     279               52                1,384                 1,125                 23",1978.0,"-​ 3P Retail                                           725                     543             34                 2,499                 1,978                26"
Blibli/GDN,2023FY,annual,Institutions,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,10066.0,"-​ Institutions                                     3,440                   3,120               10              11,649                 10,066                 16",3008.0,"-​ Institutions                                     1,635                     898               82                5,671                 3,008                 89",278.0,-​ Institutions                                        201                     161             25                   759                   278               173
Blibli/GDN,2023FY,annual,Physical Stores,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,4773.0,"-​ Physical Stores                                  1,650                   1,281               29               6,250                  4,773                 31",4199.0,"-​ Physical Stores                                  1,403                   1,122               25                5,392                 4,199                 28",914.0,"-​ Physical Stores                                     368                     240             53                 1,247                   914                36"
Blibli/GDN,2023FY,annual,Group,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,72136.0,"Total TPV                                          21,144                  17,508               21              77,410                 72,136                 7",14718.0,"Total Net Revenues                                   4,584                   3,255               41              16,716                 14,718                14",3687.0,"Total GPBD                                           1,605                   1,053               52                5,364                 3,687                45"
Blibli/GDN,2025Q4,quarter,1P Retail,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,1791.0,"-    1P Retail                                                     1,791                  1,423                  26                6,413                 5,301                    21",1344.0,"-    1P Retail                                                    1,344                    1,122                20                4,829                 4,269                     13",456.0,"-    1P Retail                                                      456                     311                 47                1,500                   859                    75"
Blibli/GDN,2025Q4,quarter,3P Retail,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,13023.0,"-    3P Retail                                                   13,023                 14,630                  (11)             53,187                54,210                    (2)",449.0,"-    3P Retail                                                     449                      424                   6                1,551                1,384                     12",762.0,"-    3P Retail                                                      762                    725                   5                2,847                 2,499                     14"
